PCODE,latitude,longitude,geocoded
CH65 6EA,53.277256,-2.906892,True
SN1 7DA,51.5458035,-1.8090906,True
SN1 7DA,51.545426,-1.80949,True
W10 6EL,51.5206694,-0.2140512,True
ST5 2SJ,53.015193,-2.234186,True
SE9 2SU,51.4467854,0.0623449,True
SE16 4UN,51.499713,-0.067457,True
DT8 3EP,50.8138632,-2.7408889,True
W9 2DR,51.52535,-0.192148,True
S70 3DL,53.5369189,-1.453806,True
S2 1SN,53.374515,-1.417966,True
S12 2SF,53.3567027,-1.4346719,True
E17 5DP,51.599489,-0.02444,True
TS8 0GA,54.5242741,-1.224673,True
M14 4PX,53.45774,-2.234674,True
NN3 8NH,52.2575659,-0.8307132,True
SW4 9ET,51.457389,-0.141186,True
DN8 5BY,53.614759,-0.9525881,True
M30 7PQ,53.478652,-2.379589,True
SK3 0UP,53.3998959,-2.1838649,True
M16 8PR,53.445802,-2.248595,True
B43 7SD,52.5534401,-1.9472014,True
NE24 2SY,55.118012,-1.52095,True
BB5 4FF,53.76158,-2.3736465,True
HR2 7NG,52.037352,-2.727529,True
BN15 9QZ,50.834925,-0.3314993,True
BN17 6FE,50.813889,-0.534909,True
BN43 6YT,50.8361796,-0.247331,True
NN16 9NS,52.411817,-0.711131,True
LN8 3RF,53.3828228,-0.324002,True
RM14 3HS,51.556161,0.260015,True
IG10 2LD,51.6624589,0.0857988,True
LA1 3EF,54.04719,-2.790123,True
KT2 6RL,51.4113954,-0.2949917,True
DE6 1EP,53.021894,-1.728899,True
B6 6DJ,52.5034848,-1.8851384,True
B14 7QJ,52.431088,-1.902281,True
B14 7QJ,52.4307465,-1.9038594,True
B32 4BT,52.4321,-1.999309,True
B21 9AR,52.5023784,-1.9228942,True
LN2 4PN,53.239546,-0.521603,True
NR31 8AP,52.5833514,1.708254,True
TN17 3JD,51.096928,0.538292,True
PE10 9JE,52.762348,-0.3756518,True
M46 0AY,53.521793,-2.493701,True
SW1E 5HJ,51.4977608,-0.1387624,True
AL5 4TD,51.822047,-0.353633,True
BN3 8BN,50.8539459,-0.1928338,True
TN13 3SL,51.286756,0.207609,True
B68 8ED,52.4845073,-2.0013093,True
NR30 4LS,52.619943,1.736445,True
B7 4AA,52.4916329,-1.8848341,True
CO3 3ND,51.886685,0.886988,True
SE18 5PW,51.4912476,0.0612218,True
E9 6NR,51.544465,-0.052622,True
SW9 6UL,51.4759979,-0.1023261,True
SE12 8PD,51.455215,0.007515,True
SE1 4AN,51.4947112,-0.0874458,True
E1 0RH,51.516251,-0.044212,True
NW6 5SN,51.5341142,-0.1922137,True
BR6 9SH,51.36685,0.104052,True
CR0 5JQ,51.3695639,-0.0810384,True
EN1 3PU,51.657249,-0.055138,True
TW10 6HW,51.4590931,-0.2879961,True
NW4 4QR,51.592732,-0.226161,True
DY8 1QX,52.4505369,-2.1438128,True
B65 9AN,52.483378,-2.046341,True
L7 6HQ,53.3976016,-2.9437912,True
L17 3AL,53.388135,-2.940463,True
WN1 1HQ,53.5485194,-2.6380844,True
BS1 6RT,51.446007,-2.587695,True
EX2 5AP,50.7184466,-3.4826153,True
SO15 5TE,50.915732,-1.423264,True
HR1 1UU,52.0574955,-2.6839131,True
AL3 6DR,51.773189,-0.343715,True
CT2 7AP,51.2929571,1.0745117,True
CT10 2LH,51.361489,1.407787,True
PR25 3AH,53.686868,-2.68597,True
FY6 0NP,53.917138,-2.960871,True
PR4 5SN,53.7333684,-2.7623907,True
PR2 8RA,53.782732,-2.704102,True
TA18 7NT,50.8883835,-2.7864187,True
IP33 3BH,52.25144,0.703568,True
RH4 3DG,51.2268062,-0.3421948,True
BN11 2JX,50.819412,-0.356593,True
BN14 8BG,50.8224651,-0.3671492,True
RH11 8JE,51.106217,-0.208435,True
W12 0HR,51.518167,-0.2325362,True
N8 7NU,51.587551,-0.117228,True
SL3 9JQ,51.4863152,-0.5800008,True
CR4 1SF,51.406286,-0.154402,True
N7 8PG,51.5469927,-0.1105522,True
DY11 5XQ,52.41693,-2.253981,True
M24 6XN,53.5681315,-2.1983396,True
DL1 1LL,54.529142,-1.533964,True
BD4 7QJ,53.776949,-1.7327609,True
N12 9HB,51.612667,-0.168218,True
